tweet,label
We are @ Club H Disco dancing the night away! Thanks Jan for dedicating your the devil in disguise by Elvis to me!!,2
"Someday , I hope to say hello ( says the guy who works nights ) .",2
"""Watching 50 Shades of Grey for the 1st time... it's SO bad. Like """"Twilight,"""" if Edward were a shitty Dom and Bella was... well, still vapid.""",0
"""You can take UFC, MMA or heavyweight boxing but that Brock Lesnar vs Undertaker fight on @WWE may have been one of the best ever brawls.""",2
people inviting me to do stuff tomorrow... do they not realise it's STAR WARS DAY #StarWars #TheForceAwakens #Ilovethesehashtagemojis,1
New project at Straw Hat Pizza 1653 Industrial Pkwy. Hayward just in time for the Floyd Mayweather vs Andre Berto fight September 12,1
"""I can't even remotely believe that I'm going to see Sam Smith in person, with my own two eyes, this Friday.""",2
Excited for the Raiders game tonight,2
"1A: Congress can't make law preventing religious freedom, so SCOTUS interpretation unlawful Const Trumps case law https://t.co/f4LSUd5ENR",0
"""Let the romance rumors continue! In a sneak peek clip from this Sunday's brand new episode of I Am Cait, Caitlyn Jenner heads over to BFF""",1
Blue Jays 3RD Josh Donaldson deserves the AL MVP for sure. And that's coming from a Red Sox fan. That man is fun to watch.,2
Headed to Fenway to watch the Red Sox tonight. Tough year - I bet they miss Pedro. #INBOUND15 http://t.co/lddvfsdhrQ,1
@philtufnell can we get a RT: Big North London Derby tonight Cockspur Rum T20 Cup 2nd round @HornseyClub vs Highgate CC 6.30 start @ Hornsey,1
"""Entered the Cape Argus Pick n Pay Cycle Tour happening on Sun, 10 Mar 2013! 12th time, going for that elusive 3h30 with @Charlie_Mills""",1
@zooarchaeologis cool\u002c come to Monday group\u002c they would love it\u002c we often do day trips out together\u002c Fire Station\u002c World Book Day and stuff!,2
Wah... Tmr 9 muz reach sch oredi... Haiz.... So i meet u at 850 lk tt k...,1
"Queen Latifaa and Kurt Russell wow this may be the best Super Bowl ever #SB48""",2
New David Bowie single from the soon to be released BLACK STAR. Hey! I can't fuckin' wait(January 8th). Enjoy!... https://t.co/zlXH2ih5Cy,2
Oh and P.S. big Adidas warehouse sale tomorrow if you\u2019re interested!,2
taylor swift will be 5 hours away  from me tomorrow i want to cry,2
registering for my ACT\u2019s and SAT\u2019s at the last minute -____- I am so tired,0
"""2nd Round: Guess the song  He treats you so bad and I'm so good to you, It's not fair!  First to 5 points gets the DM with Niall!!""",1
My dads seeing Paul McCartney for like the 6th time and yet he still asks me why I need to keep seeing Taylor swift???,1
Ummm if u haven't hear Kendrick Lamar n J. Cole's Black Friday ???? What are u going ???,1
"They're making a 5th Jurassic Park. If this continues, eventually we'll all get what we really want. Dinosaurs in space.",1
"""@kellyjeaaann Won't have it until tomorrow for PS4, but I know some people got it on Saturday :(""",0
9 months from Friday there is going to be another ginormous Baby Boom #CallinIt,2
I'm serious if anyone is selling cheap tickets for Taylor swift on Wednesday let me know idc if it's nosebleeds,2
I haven\u2019t eaten chicken nuggets since I was like 6 or 7.. Who wants to get some McDonald\u2019s with me tomorrow?,0
"@LarryOConnor @GretchenCarlson U sound like the hated ""smartset"" now? Is #KimDavis the 1st to ignore unlawful ruling from SCOTUS in history?",0
Looking fowrard to kaman returning this saturday when Mavs face the Bobcats! #MavsNation #GOMAVS,2
"""A note to any activists and journalists who may have the infamous Dr Mohamad from Baba Amr on their Skype, his... http://t.co/yyqmv8gO""",1
""" TheRealPSL Starbucks I hate this. Just wait until the 8th "" - Donald Trump #DonaldTrump #TrumpQuote #TrumpForPresident",0
"""Looking forward to 4x06&amp; #Olicity tomorrow,but Felicity didn't mention Oliver once to Curtis?I would brag just a bit https://t.co/myUJKRmNeo""",1
Playing as the Browns HC K. Fri in #Madden13\u002c XFacalac lost to the Ravens 21-28 on All-Madden #ConnectedCareers,1
Wright greets Mets at hotel in full uniform with cookies: David Wright may have greeted the Phillies with an u... http://t.co/ljXAWmerox,1
"""They really are grooming Seth Rollins to be the next Triple H, having him open every Monday with a time-devouring promo. @WWE #Raw""",1
"""On the 14th anniversary of Aaliyah's passing, Janet Jackson shared a personal message http://t.co/Y2vl20bZcu http://t.co/l7UU9oMaw0""",2
Baru tau kalo Picplz mau shut down tgl 3 July. Kalah saingan sm Instagram. Somehow it reminds me of Posterous vs Tumblr.,1
Fil-Aussie Jason Day is currently tied for the lead in the British Open at -12 together with Paul Dunne and Louis Oosthuizen after 3rd round,1
"Although his birthday is actually tomorrow, I feel like today- Labor Day -is Bernie Sanders' favorite day",2
It's a shame it's not a historic march up the 18th on the final Sunday for Paul Dunne. Hopefully he be in as strong a position tomorrow. ...,0
