tweet,label
pretty little liars was the shit ! i can't wait til tomorrow ! i wanna see who all innocent & who got something to do with allison dying !,2
for the 1st time in 30 years. for your splendiferous entertainment. arts in lechlade proudly presents an old... http,2
final in boys basketball here at lincoln. splitters control the 2nd half and beat milan 74-61.  #splitterpride,2
"moving out by january and buying a new lexus, i'm excited! i just want to better myself",2
"""heading to split and hvar today, then tomorrow in hvar and the following day on pag island""",1
was this feeling nirvana or was it the bliss ignorance portrays  what ever it may be its taste lingers on my tongue.,1
"@user bentley at the age of 16, fake boobs &amp; lips @ 17 &amp; ferrari for her 18th just annoys me she's famous for nothing",0
@user may your everyday look like bonus points you get while playing one of those nintendo game of super mario,2
@user wins 28-10 over @user 1st win of the season. next fri. at home vs. prince george. http,1
"@user - jason, loving your performances. may your disco balls shine! you are truly the hot slut of the day. http",2
thor's going to make herrera pay tomorrow night. mets have the enforcer on the mound http,2
"""the pool is cool, the sun is hot, the breeze is soft. i have attained nirvana. #thespiritualstate #nottheband http",2
"#happyholidays #fun sarah palin interviewed multiple 2016 gop contenders on friday, but it was far from the gr...  http",1
"""i can't wait till december and see the swifties, smilers and lovatics referencing those december songs ;d lol""",2
"@user true!..dude hasn't gotten it in his 4th season and still plays the same, can't be like alex smith who just got it together lol",0
**iras thursday spectacular** - this thursday only ira is offering 25% off all hair services between the hours of... http,1
"remember people, rui en's #poeticjustice will debut on 11 sept 12. see you again in 1 month's time! ;) http",2
morning everyone!! starting off our tuesday we have..  bee gees with i don't wanna be the one http,2
"""children from 1st grade are taught islam will take over the world so the 12th imam can rise amid smoke &amp; fire to rule his domain, the devil!""",0
u know hillary is panicking when chelsea clinton will be speaking at the amy schumer show in boston this friday.,0
"""@user i'm getting the same. i heard that """"thor"""" may have gone to #canberra. not sure about the others.""",1
@user rousey and stephanie may beat her to it but i know what you mean. she's a special talent.,2
"""nirvana is heaven to the ancient hindu deities. they came to earth from nirvana, the 6th planet in orion really called procyon.""",2
seth mcfarlane set to host the 85th academy awards in february. what do you think of that choice?,1
@user for a monday i'm like tony the tiger grrrrrrrreat! which is much better than tiger woods no one is trying to hit me with a club,1
omg worst last 10 days in a while. looking forward to true blood to cheer me up tonight.,0
"""@user @user @user i'm a dumb, the missus booked a sofa at the electric tomorrow for ant-man. fancy it tomorrow?""",2
danica patrick let her temper get the best of her sunday and knocked herself out of nascar race http,0
i may talk my shit about caitlyn jenner. but i'm going to use her correct name and pronouns. that's the least i can do.,1
why the heck is chris colgan playing 3rd base over kris bryant??,0
